,page,field,count_female_words,count_male_words,count_nonbinary_words,doctorate,len_page
0,Amalia Fleming,20th-century_Greek_physicians,44,5,0,0,2010
1,Marietta Giannakou,20th-century_Greek_physicians,19,0,0,0,732
2,George Higoumenakis,20th-century_Greek_physicians,0,11,0,0,391
3,Dionysios Ikkos,20th-century_Greek_physicians,1,5,0,0,749
4,John Ioannidis,20th-century_Greek_physicians,0,22,0,0,3471
5,Athanasios Kafkalides,20th-century_Greek_physicians,0,14,0,0,1394
6,Nikitas Kaklamanis,20th-century_Greek_physicians,0,10,0,0,495
7,Georg N. Koskinas,20th-century_Greek_physicians,0,8,0,0,637
8,Nicholas Kounis,20th-century_Greek_physicians,0,22,0,0,1980
9,Grigoris Lambrakis,20th-century_Greek_physicians,0,32,2,0,2352
10,John Lykoudis,20th-century_Greek_physicians,0,8,0,0,692
11,Spyros Marketos,20th-century_Greek_physicians,0,21,0,0,1638
12,Ilkay Altintas,Data_scientists,21,0,1,0,3547
13,Shlomo Argamon,Data_scientists,0,12,1,1,2207
14,Hamdan Azhar,Data_scientists,0,5,0,0,1447
15,Ben Baumer,Data_scientists,2,14,0,0,1910
16,Laveesh Bhandari,Data_scientists,0,31,0,1,1806
17,Bridget Boakye,Data_scientists,23,0,0,0,1129
18,Nadieh Bremer,Data_scientists,4,0,0,0,1035
19,Mine Çetinkaya-Rundel,Data_scientists,8,0,0,0,1207
20,Jaya Chakrabarti,Data_scientists,4,1,0,0,933
21,Lynn Cherny,Data_scientists,23,0,0,1,1733
22,Rumman Chowdhury,Data_scientists,26,0,0,0,1411
23,Drew Conway,Data_scientists,0,16,0,1,1152
24,David Cournapeau,Data_scientists,0,4,0,0,741
25,Dirk Eddelbuettel,Data_scientists,0,9,0,0,1072
26,Helen Glaves,Data_scientists,8,0,0,0,901
27,Emily Gorcenski,Data_scientists,18,6,1,0,2156
28,Youyang Gu,Data_scientists,0,1,3,0,1239
29,Hadelin de Ponteves,Data_scientists,0,18,0,0,964
30,Jeff Hammerbacher,Data_scientists,0,3,0,0,1050
31,Mark Henry Hansen,Data_scientists,0,15,0,0,3270
32,James Howard (mathematician),Data_scientists,0,11,0,1,2270
33,Gareth M. James,Data_scientists,0,12,0,1,486
34,Rebekah Jones,Data_scientists,26,0,4,0,2193
35,Peter Kalmus (climate scientist),Data_scientists,0,39,3,0,3673
36,Jeffrey T. Leek,Data_scientists,0,9,0,1,1475
37,Antonino Letteriello,Data_scientists,0,5,0,0,685
38,Michael Li,Data_scientists,0,18,0,1,2335
39,Giorgia Lupi,Data_scientists,31,0,2,0,1722
40,Nita Madhav,Data_scientists,2,0,0,0,1010
41,Brandeis Marshall,Data_scientists,15,0,2,1,1978
42,Mauro Martino,Data_scientists,0,4,0,0,1814
43,Hilary Mason (data scientist),Data_scientists,8,0,0,0,1659
44,Sean McElwee,Data_scientists,0,8,0,0,762
45,Wes McKinney,Data_scientists,1,12,0,1,1313
46,Solomon Messing,Data_scientists,0,4,0,0,1445
47,Travis Oliphant,Data_scientists,0,7,0,1,1437
48,Cathy O'Neil,Data_scientists,9,0,1,1,1330
49,Hilary Parker,Data_scientists,17,0,2,0,2384
50,DJ Patil,Data_scientists,0,20,2,0,3556
51,Gregory Piatetsky-Shapiro,Data_scientists,0,19,0,1,2374
52,Stefanie Posavec,Data_scientists,7,0,0,0,1055
53,Bastiaan Quast,Data_scientists,0,5,0,1,1119
54,Seth Rich,Data_scientists,3,98,24,0,13189
55,Monica Rogati,Data_scientists,7,0,0,0,1031
56,George Santangelo,Data_scientists,0,4,0,1,929
57,Ervin Sejdic,Data_scientists,0,10,0,0,1736
58,Samuel Sinyangwe,Data_scientists,1,16,4,0,2920
59,Peter Skomoroch,Data_scientists,0,4,0,0,755
60,Seth Stephens-Davidowitz,Data_scientists,0,7,2,1,1397
61,Victoria Stodden,Data_scientists,5,0,0,1,1123
62,Joy A. Thomas,Data_scientists,0,16,1,0,1593
63,Sherry Towers,Data_scientists,10,0,0,0,1407
64,Alexander Tuzhilin,Data_scientists,0,9,2,1,1377
65,Ben Warner,Data_scientists,0,4,1,0,1216
66,Hadley Wickham,Data_scientists,0,8,0,0,1621
67,Chris Wiggins (data scientist),Data_scientists,0,3,0,0,870
68,Roy David Williams,Data_scientists,0,3,0,0,711
69,Wong Ho-wa,Data_scientists,0,30,3,0,2281
70,Christopher Wylie,Data_scientists,1,74,8,0,5260
71,Yihui Xie,Data_scientists,0,6,0,1,904
72,Anne van Aaken,20th-century_economists,13,0,0,0,1906
73,Sam Aaronovitch,20th-century_economists,0,15,1,0,1073
74,Marit Aarum,20th-century_economists,6,0,0,0,778
75,Alberto Abadie,20th-century_economists,0,9,0,1,877
