,page,doctorate,len_page,female,male,category,count,nobel_field
0,Amalia Fleming,0,2010,True,False,20th-century_physicians,1,Physiology or Medicine
1,Marietta Giannakou,0,732,True,False,20th-century_physicians,1,Physiology or Medicine
2,George Higoumenakis,0,391,False,True,20th-century_physicians,1,Physiology or Medicine
3,Dionysios Ikkos,0,749,False,True,20th-century_physicians,1,Physiology or Medicine
4,John Ioannidis,0,3471,False,True,20th-century_physicians,1,Physiology or Medicine
5,Athanasios Kafkalides,0,1394,False,True,20th-century_physicians,1,Physiology or Medicine
6,Nikitas Kaklamanis,0,495,False,True,20th-century_physicians,1,Physiology or Medicine
7,Georg N. Koskinas,0,637,False,True,20th-century_physicians,1,Physiology or Medicine
8,Nicholas Kounis,0,1980,False,True,20th-century_physicians,1,Physiology or Medicine
9,Grigoris Lambrakis,0,2352,False,True,20th-century_physicians,1,Physiology or Medicine
10,John Lykoudis,0,692,False,True,20th-century_physicians,1,Physiology or Medicine
11,Spyros Marketos,0,1638,False,True,20th-century_physicians,1,Physiology or Medicine
12,Ilkay Altintas,0,3547,True,False,Data_scientists,1,Data Science
13,Shlomo Argamon,1,2207,False,True,Data_scientists,1,Data Science
14,Hamdan Azhar,0,1447,False,True,Data_scientists,1,Data Science
15,Ben Baumer,0,1910,False,True,Data_scientists,1,Data Science
16,Laveesh Bhandari,1,1806,False,True,Data_scientists,1,Data Science
17,Bridget Boakye,0,1129,True,False,Data_scientists,1,Data Science
18,Nadieh Bremer,0,1035,True,False,Data_scientists,1,Data Science
19,Mine Çetinkaya-Rundel,0,1207,True,False,Data_scientists,1,Data Science
20,Jaya Chakrabarti,0,933,True,False,Data_scientists,1,Data Science
21,Lynn Cherny,1,1733,True,False,Data_scientists,1,Data Science
22,Rumman Chowdhury,0,1411,True,False,Data_scientists,1,Data Science
23,Drew Conway,1,1152,False,True,Data_scientists,1,Data Science
24,David Cournapeau,0,741,False,True,Data_scientists,1,Data Science
25,Dirk Eddelbuettel,0,1072,False,True,Data_scientists,1,Data Science
26,Helen Glaves,0,901,True,False,Data_scientists,1,Data Science
27,Emily Gorcenski,0,2156,True,False,Data_scientists,1,Data Science
28,Youyang Gu,0,1239,False,True,Data_scientists,1,Data Science
29,Hadelin de Ponteves,0,964,False,True,Data_scientists,1,Data Science
30,Jeff Hammerbacher,0,1050,False,True,Data_scientists,1,Data Science
31,Mark Henry Hansen,0,3270,False,True,Data_scientists,1,Data Science
32,James Howard (mathematician),1,2270,False,True,Data_scientists,1,Data Science
33,Gareth M. James,1,486,False,True,Data_scientists,1,Data Science
34,Rebekah Jones,0,2193,True,False,Data_scientists,1,Data Science
35,Peter Kalmus (climate scientist),0,3673,False,True,Data_scientists,1,Data Science
36,Jeffrey T. Leek,1,1475,False,True,Data_scientists,1,Data Science
37,Antonino Letteriello,0,685,False,True,Data_scientists,1,Data Science
38,Michael Li,1,2335,False,True,Data_scientists,1,Data Science
39,Giorgia Lupi,0,1722,True,False,Data_scientists,1,Data Science
40,Nita Madhav,0,1010,True,False,Data_scientists,1,Data Science
41,Brandeis Marshall,1,1978,True,False,Data_scientists,1,Data Science
42,Mauro Martino,0,1814,False,True,Data_scientists,1,Data Science
43,Hilary Mason (data scientist),0,1659,True,False,Data_scientists,1,Data Science
44,Sean McElwee,0,762,False,True,Data_scientists,1,Data Science
45,Wes McKinney,1,1313,False,True,Data_scientists,1,Data Science
46,Solomon Messing,0,1445,False,True,Data_scientists,1,Data Science
47,Travis Oliphant,1,1437,False,True,Data_scientists,1,Data Science
48,Cathy O'Neil,1,1330,True,False,Data_scientists,1,Data Science
49,Hilary Parker,0,2384,True,False,Data_scientists,1,Data Science
50,DJ Patil,0,3556,False,True,Data_scientists,1,Data Science
51,Gregory Piatetsky-Shapiro,1,2374,False,True,Data_scientists,1,Data Science
52,Stefanie Posavec,0,1055,True,False,Data_scientists,1,Data Science
53,Bastiaan Quast,1,1119,False,True,Data_scientists,1,Data Science
54,Seth Rich,0,13189,False,True,Data_scientists,1,Data Science
55,Monica Rogati,0,1031,True,False,Data_scientists,1,Data Science
56,George Santangelo,1,929,False,True,Data_scientists,1,Data Science
57,Ervin Sejdic,0,1736,False,True,Data_scientists,1,Data Science
58,Samuel Sinyangwe,0,2920,False,True,Data_scientists,1,Data Science
59,Peter Skomoroch,0,755,False,True,Data_scientists,1,Data Science
60,Seth Stephens-Davidowitz,1,1397,False,True,Data_scientists,1,Data Science
61,Victoria Stodden,1,1123,True,False,Data_scientists,1,Data Science
62,Joy A. Thomas,0,1593,False,True,Data_scientists,1,Data Science
63,Sherry Towers,0,1407,True,False,Data_scientists,1,Data Science
64,Alexander Tuzhilin,1,1377,False,True,Data_scientists,1,Data Science
65,Ben Warner,0,1216,False,True,Data_scientists,1,Data Science
66,Hadley Wickham,0,1621,False,True,Data_scientists,1,Data Science
67,Chris Wiggins (data scientist),0,870,False,True,Data_scientists,1,Data Science
68,Roy David Williams,0,711,False,True,Data_scientists,1,Data Science
